csv_row,event_record_index,event_elapsed_s,seconds_since_previous_record,seconds_since_previous_selected,source,selection_role,motion_detected,roi_delta,roi_changed_ratio,regional_delta,scene_delta,is_roi_novel,is_regionally_novel,is_scene_novel,is_meaningfully_different,dominant_region,importance_score,change_importance_score,centroid_motion_score,sharpness
1,0,0.034,0.000,0.000,event,roi_change,True,0.201109,0.238697,0.112298,0.022724,True,True,True,True,{'row': 1; 'col': 1; 'score': 0.18529041805401403},0.271049,0.120912,0.000000,1127.81
2,1,0.078,0.045,0.045,event,best_scene_change,True,0.157459,0.183910,0.142248,0.031306,True,True,True,True,{'row': 1; 'col': 1; 'score': 0.23273063599367705},0.277454,0.110263,0.122927,1115.42
3,2,0.118,0.040,0.040,event,regional_change,False,0.000531,0.000000,0.051680,0.016481,False,True,False,True,{'row': 1; 'col': 1; 'score': 0.0804419332055292},0.066693,0.016343,0.000000,1139.61
4,3,0.160,0.041,0.041,event,regional_change,False,0.000299,0.000000,0.068055,0.014838,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.11170725337859894},0.069971,0.018939,0.000000,1141.22
5,4,0.199,0.040,0.040,event,regional_change,False,0.000085,0.000000,0.059659,0.011763,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.09896324345498465},0.067112,0.016087,0.000000,1125.62
6,5,0.244,0.044,0.044,event,regional_change,False,0.000877,0.000000,0.040064,0.008384,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.06606776783965528},0.061865,0.011342,0.000000,1113.84
7,6,0.711,0.468,0.468,event,regional_change,False,0.000276,0.000000,0.031802,0.006241,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.05278187634654306},0.059181,0.008669,0.000000,1133.83
8,7,0.834,0.123,0.123,event,regional_change,False,0.000140,0.000000,0.025492,0.004934,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04236403995560488},0.057317,0.006888,0.000000,1136.70
9,8,0.876,0.042,0.042,event,regional_change,False,0.000631,0.000000,0.040541,0.008190,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.067094731344258},0.061850,0.011259,0.000000,1159.85
10,9,0.917,0.041,0.041,event,regional_change,False,0.000413,0.000000,0.028678,0.005710,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04752888946921721},0.058350,0.007920,0.000000,1172.30
11,10,0.960,0.043,0.043,event,regional_change,False,0.000216,0.000000,0.028219,0.005490,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.046872755761572106},0.058125,0.007663,0.000000,1172.03
12,11,0.999,0.039,0.039,event,regional_change,False,0.000118,0.000000,0.025981,0.005036,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.043172292224325906},0.057452,0.007012,0.000000,1151.65
13,12,1.044,0.045,0.045,event,regional_change,False,0.000799,0.000000,0.040500,0.008394,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.06685316968074688},0.061946,0.011397,0.000000,1139.90
14,13,1.167,0.123,0.123,event,regional_change,False,0.000642,0.000000,0.028941,0.005993,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04777763269569759},0.058556,0.008175,0.000000,1160.67
15,14,1.209,0.043,0.043,event,regional_change,False,0.000569,0.000000,0.038903,0.007735,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.0644845596396161},0.061327,0.010744,0.000000,1160.92
16,15,1.444,0.235,0.235,event,regional_change,False,0.000712,0.000000,0.025761,0.005976,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.04199582163609061},0.057834,0.007564,0.000000,1158.90
17,16,1.683,0.239,0.239,event,regional_change,False,0.000462,0.000000,0.056052,0.013777,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.09071293334203825},0.066942,0.016241,0.000000,1136.15
18,17,1.726,0.044,0.044,event,regional_change,False,0.005278,0.006184,0.045999,0.012835,False,True,False,True,{'row': 2; 'col': 1; 'score': 0.07316706926943918},0.065755,0.016067,0.000000,1141.43
19,18,1.766,0.040,0.040,event,regional_change,False,0.026996,0.034176,0.042245,0.014200,False,True,False,True,{'row': 1; 'col': 1; 'score': 0.06517203107658157},0.071603,0.025567,0.000000,1128.84
20,19,1.812,0.046,0.046,event,roi_change,False,0.077211,0.095811,0.061706,0.018935,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.09664615074160023},0.092087,0.053713,0.000000,1098.76
21,20,1.852,0.039,0.039,event,roi_change,False,0.063711,0.078125,0.044974,0.010558,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.07305014630208859},0.081951,0.041360,0.000000,1121.32
22,21,1.892,0.040,0.040,event,roi_change,False,0.065957,0.080186,0.034015,0.007715,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.05546900750008408},0.079280,0.039184,0.000000,1114.94
23,22,1.932,0.040,0.040,event,roi_change,False,0.060823,0.074003,0.031360,0.005986,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.05204789291359769},0.076688,0.035737,0.000000,1126.39
24,23,1.977,0.045,0.045,event,roi_change,False,0.099416,0.125000,0.047210,0.011543,True,True,False,True,{'row': 1; 'col': 1; 'score': 0.07625533918541687},0.093168,0.058219,0.000000,1151.55
25,24,2.019,0.042,0.042,event,roi_change,False,0.044607,0.056715,0.017288,0.003505,True,False,False,True,{'row': 1; 'col': 1; 'score': 0.028523862375138737},0.068003,0.024758,0.000000,1149.39
26,25,2.311,0.292,0.292,event,roi_change,False,0.033668,0.042154,0.009088,0.002130,True,False,False,True,{'row': 1; 'col': 1; 'score': 0.01475801298220832},0.062527,0.017714,0.000000,1170.13
